Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,,VEHICLE_YEAR
200901BS70138,3/23/2021,Monday,Auto traffic signal,T or staggered junction,Serious,51.483642,Darkness - lights lit,Kensington and Chelsea,None,-0.164308,1,1,Metropolitan Police,Dry,Single carriageway,30,19:42,Urban,Fine no high winds,Car,,after 2015
200901BS70139,3/24/2021,Tuesday,Give way or uncontrolled,Crossroads,Serious,51.491834,Darkness - lights lit,Kensington and Chelsea,None,-0.164844,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,22:22,Urban,Raining no high winds,Car,,before 2015
200901BS70140,3/24/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.491921,Daylight,Kensington and Chelsea,None,-0.158934,1,1,Metropolitan Police,Dry,Single carriageway,30,14:12,Urban,Fine no high winds,Motorcycle 125cc and under,,before 2015
200901BS70141,3/24/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.520593,Daylight,Kensington and Chelsea,None,-0.210247,1,1,Metropolitan Police,Dry,Single carriageway,30,07:53,Urban,Fine no high winds,Car,,before 2015
200901BS70142,3/21/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.486624,Daylight,Kensington and Chelsea,None,-0.170958,1,2,Metropolitan Police,Dry,Single carriageway,30,09:50,Urban,Fine no high winds,Car,,before 2015
200901BS70143,3/25/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.516402,Daylight,Kensington and Chelsea,None,-0.218482,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,,after 2015
200901BS70144,3/27/2021,Friday,Auto traffic signal,Crossroads,Slight,51.489535,Darkness - lights lit,Kensington and Chelsea,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,20:15,Urban,Fine no high winds,Car,,before 2015
200901BS70145,3/28/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.489744,Daylight,Kensington and Chelsea,None,-0.175011,1,1,Metropolitan Police,Dry,Single carriageway,30,12:40,Urban,Fine no high winds,Car,,before 2015
200901BS70146,3/27/2021,Friday,Give way or uncontrolled,Crossroads,Slight,51.49266,Daylight,Kensington and Chelsea,None,-0.160201,1,1,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car,,before 2015
200901BS70147,3/28/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.506957,Daylight,Kensington and Chelsea,None,-0.194786,1,1,Metropolitan Police,Dry,Single carriageway,30,05:30,Urban,Fine no high winds,Car,,before 2015
200901BS70148,3/28/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.493541,Daylight,Kensington and Chelsea,None,-0.182062,1,1,Metropolitan Police,Dry,Single carriageway,30,06:30,Urban,Fine no high winds,Car,,before 2015
200901BS70149,3/28/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486183,Daylight,Kensington and Chelsea,None,-0.183075,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:21,Urban,Raining no high winds,Car,,before 2015
200901BS70150,3/18/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.497815,Darkness - lights lit,Kensington and Chelsea,None,-0.202639,1,2,Metropolitan Police,Dry,Single carriageway,30,19:49,Urban,Fine no high winds,Car,,before 2015
200901BS70151,3/28/2021,Saturday,Give way or uncontrolled,More than 4 arms (not roundabout),Slight,51.502755,Daylight,Kensington and Chelsea,None,-0.196393,2,4,Metropolitan Police,Wet or damp,Single carriageway,30,16:35,Urban,Fine no high winds,Car,,before 2015
200901BS70152,3/24/2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.487635,Daylight,Kensington and Chelsea,None,-0.17812,1,2,Metropolitan Police,Dry,Single carriageway,30,07:55,Urban,Fine no high winds,Car,,before 2015
200901BS70153,3/30/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.498814,Daylight,Kensington and Chelsea,None,-0.179979,1,1,Metropolitan Police,Dry,Single carriageway,30,19:35,Urban,Fine no high winds,Car,,before 2015
200901BS70154,3/13/2021,Friday,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.501571,Daylight,Westminster,None,-0.160706,1,2,Metropolitan Police,Dry,Single carriageway,30,15:00,Urban,Fine no high winds,Motorcycle over 500cc,,before 2015
200901BS70155,04-01-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493723,Daylight,Kensington and Chelsea,None,-0.182199,1,1,Metropolitan Police,Dry,Single carriageway,30,08:59,Urban,Fine no high winds,Car,,after 2015
200901BS70156,3/31/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.482582,Daylight,Kensington and Chelsea,None,-0.171264,1,2,Metropolitan Police,Dry,Single carriageway,30,07:15,Urban,Fine no high winds,Car,,before 2015
200901BS70157,3/31/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.506189,Daylight,Kensington and Chelsea,None,-0.209226,1,1,Metropolitan Police,Dry,Single carriageway,30,16:25,Urban,Fine no high winds,Car,,before 2015
200901BS70159,3/27/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.482902,Daylight,Kensington and Chelsea,None,-0.186086,1,1,Metropolitan Police,Dry,Single carriageway,30,07:05,Urban,Fine no high winds,Car,,before 2015
200901BS70160,04-03-2021,Friday,Auto traffic signal,T or staggered junction,Serious,51.513129,Daylight,Kensington and Chelsea,None,-0.204342,1,2,Metropolitan Police,Dry,Single carriageway,30,07:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,after 2015
200901BS70161,04-06-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.521038,Daylight,Kensington and Chelsea,None,-0.209941,1,1,Metropolitan Police,Dry,Single carriageway,30,14:25,Urban,Fine no high winds,Car,,after 2015
200901BS70163,04-03-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.507137,Daylight,Kensington and Chelsea,None,-0.194779,1,1,Metropolitan Police,Dry,Single carriageway,30,16:40,Urban,Fine no high winds,Motorcycle over 500cc,,before 2015
200901BS70164,3/26/2021,Thursday,Auto traffic signal,Roundabout,Slight,51.50467,Daylight,Hammersmith and Fulham,None,-0.21577,1,1,Metropolitan Police,Dry,Dual carriageway,30,07:30,Urban,Fine no high winds,Car,,before 2015
200901BS70165,3/22/2021,Sunday,Give way or uncontrolled,Crossroads,Slight,51.492092,Darkness - lights lit,Kensington and Chelsea,None,-0.164113,1,2,Metropolitan Police,Dry,Single carriageway,30,19:05,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,before 2015
200901BS70166,3/29/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.487452,Daylight,Kensington and Chelsea,None,-0.195412,1,1,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car,,before 2015
200901BS70167,3/19/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.491921,Darkness - lights lit,Kensington and Chelsea,None,-0.158934,2,1,Metropolitan Police,Dry,Single carriageway,30,05:11,Urban,Fine no high winds,Car,,after 2015
200901BS70168,3/23/2021,Monday,Give way or uncontrolled,Mini-roundabout,Slight,51.477465,Daylight,Kensington and Chelsea,None,-0.183422,1,2,Metropolitan Police,Dry,Single carriageway,30,08:10,Urban,Fine no high winds,Car,,before 2015
200901BS70169,3/25/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.496607,Daylight,Kensington and Chelsea,None,-0.206,1,2,Metropolitan Police,Dry,Single carriageway,30,14:54,Urban,Fine no high winds,Car,,after 2015
200901BS70171,04-08-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.494936,Daylight,Kensington and Chelsea,None,-0.185032,1,2,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Car,,before 2015
200901BS70172,04-01-2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.492747,Darkness - lights lit,Kensington and Chelsea,None,-0.200533,1,2,Metropolitan Police,Dry,One way street,30,00:45,Urban,Fine no high winds,Car,,after 2015
200901BS70173,3/26/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.499127,Daylight,Kensington and Chelsea,None,-0.159652,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,10:10,Urban,Raining no high winds,Car,,after 2015
200901BS70174,3/28/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.502269,Darkness - lights lit,Kensington and Chelsea,None,-0.188199,1,1,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car,,before 2015
200901BS70175,04-08-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.488958,Daylight,Kensington and Chelsea,None,-0.164959,1,3,Metropolitan Police,Dry,Single carriageway,30,14:02,Urban,Fine no high winds,Motorcycle 125cc and under,,before 2015
200901BS70177,04-09-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.500996,Daylight,Kensington and Chelsea,None,-0.193148,1,2,Metropolitan Police,Dry,Single carriageway,30,18:40,Urban,Fine no high winds,Car,,before 2015
200901BS70178,04-09-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.496408,Daylight,Kensington and Chelsea,None,-0.169846,1,2,Metropolitan Police,Dry,Dual carriageway,30,09:15,Urban,Fine no high winds,Car,,before 2015
200901BS70179,04-12-2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.494692,Daylight,Kensington and Chelsea,None,-0.192533,3,2,Metropolitan Police,Dry,Single carriageway,30,15:22,Urban,Fine no high winds,Car,,before 2015
200901BS70180,04-12-2021,Sunday,Give way or uncontrolled,T or staggered junction,Serious,51.490626,Daylight,Kensington and Chelsea,None,-0.191253,1,1,Metropolitan Police,Dry,One way street,30,15:50,Urban,Fine no high winds,Car,,before 2015
200901BS70181,04-10-2021,Friday,Auto traffic signal,Crossroads,Slight,51.492931,Daylight,Kensington and Chelsea,None,-0.200814,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:51,Urban,Raining no high winds,Car,,before 2015
200901BS70184,4/15/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.521682,Daylight,Kensington and Chelsea,None,-0.210925,1,1,Metropolitan Police,Dry,Single carriageway,30,15:45,Urban,Fine no high winds,Car,,before 2015
200901BS70185,4/15/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.480112,Daylight,Kensington and Chelsea,None,-0.180148,1,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car,,after 2015
200901BS70186,4/14/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.490988,Daylight,Kensington and Chelsea,None,-0.197289,2,2,Metropolitan Police,Dry,One way street,30,13:20,Urban,Fine no high winds,Car,,before 2015
200901BS70187,4/17/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.485441,Daylight,Kensington and Chelsea,None,-0.181664,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,09:30,Urban,Raining no high winds,Car,,after 2015
200901BS70189,4/20/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.492645,Daylight,Kensington and Chelsea,None,-0.193911,1,1,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,before 2015
200901BS70190,1/28/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.499915,Daylight,Kensington and Chelsea,None,-0.210625,1,2,Metropolitan Police,Dry,Single carriageway,30,13:30,Urban,Fine no high winds,Other vehicle,,before 2015
200901BS70191,4/20/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.477831,Daylight,Kensington and Chelsea,None,-0.183839,1,2,Metropolitan Police,Dry,Single carriageway,30,17:10,Urban,Fine no high winds,Car,,before 2015
200901BS70192,4/22/2021,Wednesday,Give way or uncontrolled,Crossroads,Slight,51.508817,Daylight,Kensington and Chelsea,None,-0.210564,1,2,Metropolitan Police,Dry,Single carriageway,30,09:48,Urban,Fine no high winds,Bus or coach (17 or more pass seats),,before 2015
200901BS70193,4/16/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.48106,Daylight,Kensington and Chelsea,None,-0.183279,1,2,Metropolitan Police,Dry,Single carriageway,30,08:12,Urban,Fine no high winds,Car,,before 2015
200901BS70194,4/22/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.498242,Daylight,Kensington and Chelsea,None,-0.201181,1,2,Metropolitan Police,Dry,Single carriageway,30,12:45,Urban,Fine no high winds,Car,,before 2015
200901BS70195,4/20/2021,Monday,Auto traffic signal,Crossroads,Serious,51.489354,Daylight,Kensington and Chelsea,None,-0.19044,1,2,Metropolitan Police,Dry,Single carriageway,30,17:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,,before 2015
200901BS70196,4/22/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.501365,Daylight,Kensington and Chelsea,None,-0.19371,1,1,Metropolitan Police,Dry,Single carriageway,30,10:40,Urban,Fine no high winds,Car,,before 2015
200901BS70197,4/25/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.495197,Daylight,Kensington and Chelsea,None,-0.196115,1,2,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car,,after 2015
200901BS70198,4/26/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.481664,Daylight,Kensington and Chelsea,None,-0.187431,4,2,Metropolitan Police,Dry,Single carriageway,30,13:51,Urban,Fine no high winds,Car,,after 2015
200901BS70199,4/23/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.497127,Daylight,Kensington and Chelsea,None,-0.204683,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,before 2015
200901BS70200,4/24/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.481577,Daylight,Kensington and Chelsea,None,-0.176057,1,2,Metropolitan Police,Dry,Single carriageway,30,07:25,Urban,Fine no high winds,Car,,before 2015
200901BS70201,4/14/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.495809,Daylight,Kensington and Chelsea,None,-0.171743,1,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car,,after 2015
200901BS70202,04-10-2021,Friday,Auto traffic signal,Crossroads,Slight,51.481894,Daylight,Kensington and Chelsea,None,-0.173308,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,13:15,Urban,Raining no high winds,Car,,after 2015
200901BS70203,4/27/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.506866,Daylight,Kensington and Chelsea,None,-0.206462,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,07:35,Urban,Fine no high winds,Motorcycle over 500cc,,before 2015
200901BS70204,4/27/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.493777,Darkness - lights lit,Kensington and Chelsea,None,-0.174129,1,1,Metropolitan Police,Dry,Single carriageway,30,19:57,Urban,Fine no high winds,Car,,after 2015
200901BS70205,4/27/2021,Monday,Auto traffic signal,Crossroads,Slight,51.495117,Daylight,Kensington and Chelsea,None,-0.1735,1,2,Metropolitan Police,Wet or damp,One way street,30,13:45,Urban,Raining no high winds,Goods over 3.5t. and under 7.5t,,after 2015
200901BS70206,4/26/2021,Sunday,Auto traffic signal,Crossroads,Slight,51.48342,Daylight,Kensington and Chelsea,None,-0.167342,2,2,Metropolitan Police,Dry,Single carriageway,30,17:50,Urban,Fine no high winds,Car,,after 2015
200901BS70207,4/29/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.507464,Darkness - lights lit,Kensington and Chelsea,None,-0.204421,2,2,Metropolitan Police,Dry,Single carriageway,30,19:37,Urban,Fine no high winds,Car,,after 2015
200901BS70208,4/26/2021,Sunday,Auto traffic signal,Crossroads,Slight,51.514787,Daylight,Westminster,None,-0.195197,1,2,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Car,,before 2015
200901BS70209,4/30/2021,Thursday,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.49387,Daylight,Kensington and Chelsea,None,-0.17427,1,1,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Car,,before 2015
200901BS70210,3/30/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.504753,Daylight,Kensington and Chelsea,None,-0.215334,1,2,Metropolitan Police,Dry,Dual carriageway,30,18:25,Urban,Fine no high winds,Car,,before 2015
200901BS70211,4/30/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.483409,Daylight,Kensington and Chelsea,None,-0.166622,1,2,Metropolitan Police,Dry,Single carriageway,30,09:30,Urban,Fine no high winds,Car,,before 2015
200901BS70212,05-03-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.480027,Daylight,Kensington and Chelsea,None,-0.18044,1,3,Metropolitan Police,Dry,Single carriageway,30,17:58,Urban,Fine no high winds,Car,,after 2015
200901BS70213,04-08-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.495356,Darkness - lights lit,Kensington and Chelsea,None,-0.183143,1,1,Metropolitan Police,Dry,Single carriageway,30,20:25,Urban,Fine no high winds,Car,,after 2015
200901BS70214,05-01-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.508632,Daylight,Kensington and Chelsea,None,-0.198466,1,1,Metropolitan Police,Dry,Dual carriageway,30,14:35,Urban,Fine no high winds,Car,,after 2015
200901BS70216,4/22/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.493759,Daylight,Kensington and Chelsea,None,-0.17874,1,2,Metropolitan Police,Dry,Dual carriageway,30,19:00,Urban,Fine no high winds,Car,,after 2015
200901BS70217,05-08-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.482582,Daylight,Kensington and Chelsea,None,-0.171264,1,2,Metropolitan Police,Dry,Single carriageway,30,08:35,Urban,Fine no high winds,Car,,after 2015
200901BS70218,05-08-2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.504146,Daylight,Kensington and Chelsea,None,-0.210891,1,2,Metropolitan Police,Dry,Single carriageway,30,16:50,Urban,Fine no high winds,Car,,before 2015
200901BS70219,4/29/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.507464,Darkness - lights lit,Kensington and Chelsea,None,-0.204421,1,2,Metropolitan Police,Dry,Single carriageway,30,00:25,Urban,Fine no high winds,Car,,after 2015
200901BS70220,05-10-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.486493,Darkness - lights lit,Kensington and Chelsea,None,-0.179894,1,2,Metropolitan Police,Dry,Single carriageway,30,20:10,Urban,Fine no high winds,Car,,before 2015
200901BS70221,05-06-2021,Wednesday,Give way or uncontrolled,Crossroads,Serious,51.495808,Daylight,Kensington and Chelsea,None,-0.183269,1,2,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Car,,before 2015
200901BS70222,05-07-2021,Thursday,Auto traffic signal,Crossroads,Slight,51.527785,Darkness - lights lit,Westminster,None,-0.21602,2,1,Metropolitan Police,Dry,Single carriageway,30,21:14,Urban,Fine no high winds,Car,,before 2015
200901BS70223,4/26/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.500693,Daylight,Kensington and Chelsea,None,-0.162038,5,5,Metropolitan Police,Dry,Single carriageway,30,15:49,Urban,Fine no high winds,Car,,before 2015
200901BS70224,4/29/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.483635,Darkness - lights lit,Kensington and Chelsea,None,-0.163876,1,3,Metropolitan Police,Dry,Single carriageway,30,00:25,Urban,Fine no high winds,Car,,after 2015
200901BS70225,4/29/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.495363,Daylight,Kensington and Chelsea,None,-0.177812,1,2,Metropolitan Police,Dry,Single carriageway,30,11:10,Urban,Fine no high winds,Car,,before 2015
200901BS70226,05-10-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.492096,Daylight,Kensington and Chelsea,None,-0.158639,2,1,Metropolitan Police,Dry,Single carriageway,30,17:34,Urban,Fine no high winds,Car,,before 2015
200901BS70227,05-10-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.480199,Darkness - lights lit,Kensington and Chelsea,None,-0.185761,1,1,Metropolitan Police,Dry,Single carriageway,30,00:46,Urban,Fine no high winds,Car,,after 2015
200901BS70228,5/13/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.509123,Daylight,Kensington and Chelsea,None,-0.195277,1,2,Metropolitan Police,Dry,Single carriageway,30,14:00,Urban,Fine no high winds,Car,,before 2015
200901BS70230,4/25/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.490031,Daylight,Kensington and Chelsea,None,-0.187676,1,2,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Car,,after 2015
200901BS70231,05-08-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.486143,Daylight,Kensington and Chelsea,None,-0.180484,1,2,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car,,before 2015
200901BS70232,05-02-2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.49226,Darkness - lights lit,Kensington and Chelsea,None,-0.157624,1,2,Metropolitan Police,Dry,Single carriageway,30,19:36,Urban,Fine no high winds,Car,,before 2015
200901BS70233,5/15/2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.517979,Darkness - lights lit,Kensington and Chelsea,None,-0.204007,2,2,Metropolitan Police,Wet or damp,Roundabout,30,22:28,Urban,Other,Car,,after 2015
200901BS70234,5/13/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.495373,Daylight,Kensington and Chelsea,Pedestrian in carriageway - not injured,-0.172625,2,1,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car,,before 2015
200901BS70236,05-06-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.477989,Darkness - lights lit,Kensington and Chelsea,None,-0.182393,1,2,Metropolitan Police,Dry,Single carriageway,30,21:15,Urban,Fine no high winds,Car,,before 2015
200901BS70237,5/15/2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.493667,Daylight,Kensington and Chelsea,None,-0.184362,1,2,Metropolitan Police,Dry,Roundabout,30,08:00,Urban,Fine no high winds,Car,,before 2015
200901BS70238,05-01-2021,Friday,Auto traffic signal,Crossroads,Slight,51.488493,Darkness - lights lit,Kensington and Chelsea,None,-0.192922,1,1,Metropolitan Police,Dry,Single carriageway,30,22:00,Urban,Fine no high winds,Taxi/Private hire car,,after 2015
200901BS70239,05-06-2021,Wednesday,Auto traffic signal,Private drive or entrance,Slight,51.501762,Daylight,Westminster,None,-0.184473,1,2,Metropolitan Police,Dry,Single carriageway,30,16:45,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,,before 2015
200901BS70240,5/18/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.48757,Daylight,Kensington and Chelsea,None,-0.168184,1,1,Metropolitan Police,Dry,Single carriageway,30,10:42,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,after 2015
200901BS70241,05-05-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.480047,Daylight,Kensington and Chelsea,None,-0.181735,1,2,Metropolitan Police,Dry,One way street,30,09:39,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,before 2015
200901BS70242,05-04-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.480962,Daylight,Kensington and Chelsea,None,-0.176946,3,2,Metropolitan Police,Dry,Single carriageway,30,16:18,Urban,Fine no high winds,Car,,before 2015
200901BS70243,5/19/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.484282,Daylight,Kensington and Chelsea,None,-0.159242,1,1,Metropolitan Police,Dry,Single carriageway,30,18:44,Urban,Fine no high winds,Car,,before 2015
200901BS70245,5/21/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.4975,Daylight,Kensington and Chelsea,None,-0.164904,1,1,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t,,before 2015
200901BS70246,5/23/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.509333,Daylight,Kensington and Chelsea,None,-0.197286,1,2,Metropolitan Police,Dry,Single carriageway,30,09:19,Urban,Fine no high winds,Car,,before 2015
200901BS70247,5/16/2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.499528,Daylight,Kensington and Chelsea,None,-0.197096,2,1,Metropolitan Police,Dry,Dual carriageway,30,18:30,Urban,Fine no high winds,Car,,before 2015
200901BS70248,5/26/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.523506,Daylight,Kensington and Chelsea,None,-0.206673,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,09:00,Urban,Raining no high winds,Car,,before 2015
200901BS70249,05-02-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.507862,Daylight,Kensington and Chelsea,None,-0.195182,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car,,before 2015
200901BS70250,5/17/2021,Sunday,Give way or uncontrolled,Roundabout,Slight,51.486884,Daylight,Hounslow,None,-0.252906,1,2,Metropolitan Police,Dry,Roundabout,30,17:35,Urban,Fine no high winds,Taxi/Private hire car,,after 2015
200901BS70251,03-06-2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.516804,Daylight,Hammersmith and Fulham,None,-0.227259,1,2,Metropolitan Police,Dry,Single carriageway,30,08:50,Urban,Fine no high winds,Car,,before 2015
200901BS70252,5/20/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.500733,Daylight,Kensington and Chelsea,None,-0.193591,1,1,Metropolitan Police,Dry,Single carriageway,30,18:20,Urban,Fine no high winds,Car,,before 2015
200901BS70253,5/28/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.499727,Daylight,Kensington and Chelsea,None,-0.163518,1,3,Metropolitan Police,Dry,Dual carriageway,30,07:20,Urban,Fine no high winds,Car,,after 2015
200901BS70254,5/23/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.497986,Darkness - lights lit,Kensington and Chelsea,None,-0.207963,1,2,Metropolitan Police,Dry,Single carriageway,30,20:39,Urban,Fine no high winds,Car,,after 2015
200901BS70255,5/13/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.496579,Daylight,Kensington and Chelsea,None,-0.192458,1,1,Metropolitan Police,Dry,Single carriageway,30,17:19,Urban,Fine no high winds,Car,,before 2015
200901BS70257,6/30/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.506097,Daylight,Kensington and Chelsea,None,-0.209086,1,2,Metropolitan Police,Dry,Single carriageway,30,12:45,Urban,Fine no high winds,Motorcycle 50cc and under,,before 2015
200901BS70258,05-10-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.508961,Daylight,Kensington and Chelsea,None,-0.196436,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,,before 2015
200901BS70259,5/28/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.486709,Daylight,Kensington and Chelsea,None,-0.170667,1,1,Metropolitan Police,Dry,Single carriageway,30,08:30,Urban,Fine no high winds,Car,,before 2015
